品牌(中文),品牌(英文),品牌,品类,类别,,,,风格,,档次,
鳄鱼恤,crocodile,鳄鱼恤,crocodile,服装,男装,,,,运动休闲,,,大众
鳄鱼,LACOSTE,鳄鱼,LACOSTE,服装,男装,,,,商务,,,大众
三彩,3COLOUR,三彩,3COLOUR,服装,女装,,,,潮流时尚,,,中档
,5cm,,5cm,服装,男装,女装,,,潮流时尚,运动休闲,,中档
阿桑娜,a02,阿桑娜,a02,服装,女装,,,,运动休闲,潮流时尚,,中档
,ABLE JEANS,,ABLE JEANS,服装,男装,女装,,,潮流时尚,运动休闲,,高档
阿迪达斯,adidas,阿迪达斯,adidas,服装,男装,女装,内衣配饰,,运动休闲,,,中档
,AF,,AF,服装,男装,女装,,,潮流时尚,运动休闲,,中档
,Agnes,,Agnes,服装,男装,女装,,,成熟优雅,,,高档
,AGNONA,,AGNONA,服装,女装,,,,成熟优雅,,,高档
埃迪玛,aidima,埃迪玛,aidima,服装,内衣配饰,,,,成熟优雅,,,中档
,aigle,,aigle,服装,男装,女装,,,潮流时尚,运动休闲,,高档
爱慕,Aimer,爱慕,Aimer,服装,内衣配饰,母婴,,,成熟优雅,,大众,中档
艾奈儿,Allaire,艾奈儿,Allaire,服装,女装,,,,成熟优雅,,,高档
安斐儿,amphi,安斐儿,amphi,服装,内衣配饰,,,,成熟优雅,,,中档
安踏,anta,安踏,anta,服装,男装,女装,儿童,,运动休闲,,,大众
奥里托那,AOLTNA,奥里托那,AOLTNA,服装,男装,,,,成熟优雅,,,中档
雅格狮丹,aquascuturm,雅格狮丹,aquascuturm,服装,男装,女装,,,成熟优雅,,,高档
阿玛尼,armani,阿玛尼,armani,服装,男装,女装,儿童,,潮流时尚,运动休闲,高档,奢侈
,arrtco,,arrtco,服装,女装,男装,,,潮流时尚,,,中档
雅迪斯,ARTIST,雅迪斯,ARTIST,服装,女装,,,,成熟优雅,,,高档
人尽皆知,as know as,人尽皆知,as know as,服装,女装,,,,潮流时尚,,,中档
,ATSUGR,,ATSUGR,服装,内衣配饰,,,,潮流时尚,,,中档
阿桑娜,AZONA,阿桑娜,AZONA,服装,女装,内衣配饰,,成熟优雅,潮流时尚,,,中档
贝斯琦 ,B.SIQI,贝斯琦 ,B.SIQI,服装,女装,,,,成熟优雅,,,中档
芭蒂娜,BADINA,芭蒂娜,BADINA,服装,女装,,,,潮流时尚,,,中档
碧艾尔,BAIR evolution,碧艾尔,BAIR evolution,服装,女装,,,,潮流时尚,,,中档
百丝,baisi,百丝,baisi,服装,女装,,,,潮流时尚,,,中档
,Baker,,Baker,服装,女装,,,,成熟优雅,,,高档
巴黎世家,Balenciaga,巴黎世家,Balenciaga,服装,男装,女装,,,成熟优雅,,,奢侈
班尼路,Baleno,班尼路,Baleno,服装,男装,女装,,,运动休闲,,,大众
百家好,BASIC HOUSE,百家好,BASIC HOUSE,服装,女装,男装,,,潮流时尚,运动休闲,,中档
,bauhaus,,bauhaus,服装,男装,女装,,,潮流时尚,,,中档
粉蓝,BBLLUUEE,粉蓝,BBLLUUEE,服装,女装,,,,潮流时尚,,,中档
碧高,bcko,碧高,bcko,服装,女装,,,,潮流时尚,,,中档
滨波,bean pole,滨波,bean pole,服装,男装,女装,,,韩式,潮流时尚,,高档
,beartwo,,beartwo,服装,女装,,,,潮流时尚,,,中档
贝琪,beissy,贝琪,beissy,服装,女装,,,,潮流时尚,,,中档
贝拉维拉,Bellvilles,贝拉维拉,Bellvilles,服装,女装,,,,潮流时尚,,,中档
奔趣,BENCHBODY,奔趣,BENCHBODY,服装,内衣配饰,,,,成熟优雅,,,大众
百图,betu,百图,betu,服装,女装,,,,潮流时尚,,,中档
,body pops,,body pops,服装,内衣配饰,,,,成熟优雅,,,高档
,Body.ing,,Body.ing,服装,女装,,,,运动休闲,潮流时尚,,中档
堡尼,BONI,堡尼,BONI,服装,男装,,,,商务,,,高档
葆露丝,BONLUXE,葆露丝,BONLUXE,服装,内衣配饰,母婴,,,成熟优雅,,,中档
,BONPOINT,,BONPOINT,服装,儿童,,,,潮流时尚,,,高档
博斯里拉,bosilila,博斯里拉,bosilila,服装,男装,女装,,,潮流时尚,,,高档
,BOSS,,BOSS,服装,男装,,,,商务,,,高档
堡狮龙,bossini,堡狮龙,bossini,服装,男装,女装,童装,,运动休闲,,,中档
博斯,BOSSsunwen,博斯,BOSSsunwen,服装,男装,,,,商务,,,奢侈
葆蝶家,Bottega Veneta,葆蝶家,Bottega Veneta,服装,男装,女装,,,成熟优雅,,,高档
,Bread N Butter,,Bread N Butter,服装,女装,,,,成熟优雅,,,高档
布里奥尼,BRIONI,布里奥尼,BRIONI,服装,男装,,,,成熟优雅,商务,,奢侈
布克兄弟,BROOKS BROTHERS,布克兄弟,BROOKS BROTHERS,服装,男装,,,,商务,,,高档
,BUOU BUOU,,BUOU BUOU,服装,女装,,,,潮流时尚,成熟优雅,,高档
卡宾,CABBEEN,卡宾,CABBEEN,服装,男装,,,,潮流时尚,,中档,高档
,CALLIFTO,,CALLIFTO,服装,男装,,,,商务,,,高档
,Calvin,,Calvin,服装,内衣配饰,男装,女装,,成熟优雅,,,高档
,Calvin Klein Jeans,,Calvin Klein Jeans,服装,男装,女装,,,运动休闲,潮流时尚,,高档
,Calvin Klein Underwear,,Calvin Klein Underwear,服装,内衣配饰,,,,成熟优雅,,,高档
骆驼,CAMEL,骆驼,CAMEL,服装,男装,女装,,,成熟优雅,,,中档
,CAMICISSIMA,,CAMICISSIMA,服装,男装,,,,商务,,,中档
,CANALI,,CANALI,服装,男装,,,,商务,,,奢侈
,CANTARELLI,,CANTARELLI,服装,男装,,,,成熟优雅,商务,,奢侈
卡丹迪诺,Cardeendino,卡丹迪诺,Cardeendino,服装,男装,,,,成熟优雅,,,中档
歌德克依,cardkai,歌德克依,cardkai,服装,男装,女装,,,潮流时尚,商务,中档,高档
卡帝乐,CARTELO,卡帝乐,CARTELO,服装,男装,,,,成熟优雅,,,大众
卡地亚,Cartier,卡地亚,Cartier,服装,男装,女装,,,潮流时尚,,,奢侈
卡纷,CARVEN,卡纷,CARVEN,服装,女装,,,,潮流时尚,,,高档
,CAT,,CAT,服装,男装,,,,潮流时尚,,,中档
,CELINE,,CELINE,服装,男装,女装,,,潮流时尚,,,奢侈
卓诺迪,CERRUTI 1881,卓诺迪,CERRUTI 1881,服装,男装,,,,商务,成熟优雅,,中档
巧帛,CHABER,巧帛,CHABER,服装,女装,,,,成熟优雅,,,中档
香奈儿,CHANEL,香奈儿,CHANEL,服装,女装,,,,成熟优雅,潮流时尚,,奢侈
,CHLOE,,CHLOE,服装,女装,,,,潮流时尚,,,奢侈
,CK,,CK,服装,女装,男装,内衣配饰,,潮流时尚,,,高档
葛来娣,cladith,葛来娣,cladith,服装,女装,,,,潮流时尚,,,高档
奥索卡,CMDI,奥索卡,CMDI,服装,男装,,,,运动休闲,,,中档
蔻驰,COACH,蔻驰,COACH,服装,女装,男装,,,成熟优雅,,,奢侈
可姿伊,COCCI,可姿伊,COCCI,服装,女装,,,,潮流时尚,,,中档
,cocolulu,,cocolulu,服装,男装,女装,内衣配饰,,运动休闲,,,中档
可可尼,COCOON,可可尼,COCOON,服装,女装,,,,潮流时尚,成熟优雅,中档,高档
哥伦比亚,Columbia,哥伦比亚,Columbia,服装,男装,女装,,,运动休闲,,,高档
珂罗蒂雅,CORDIER,珂罗蒂雅,CORDIER,服装,女装,,,,成熟优雅,,,中档
速写,croquis,速写,croquis,服装,男装,,,,运动休闲,潮流时尚,,大众
古驰,cucci,古驰,cucci,服装,男装,女装,内衣配饰,,潮流时尚,,,奢侈
卡秀,Cushow,卡秀,Cushow,服装,女装,,,,成熟优雅,,,中档
黛玛,daima,黛玛,daima,服装,内衣配饰,,,,成熟优雅,,,大众
,daks,,daks,服装,男装,女装,,,成熟优雅,,,奢侈
丹弗瑞,DANFURUI,丹弗瑞,DANFURUI,服装,男装,,,,运动休闲,,,中档
大卫杜夫,DAVIDOFF,大卫杜夫,DAVIDOFF,服装,内衣配饰,,,,潮流时尚,,,高档
,DAZZIE,,DAZZIE,服装,女装,,,,成熟优雅,,,中档
,DEVIL NUT,,DEVIL NUT,服装,男装,女装,,,运动休闲,,,中档
,Diamond DAZZLE,,Diamond DAZZLE,服装,女装,,,,成熟优雅,,,高档
,Diane von Furstenberg,,Diane von Furstenberg,服装,女装,,,,成熟优雅,,,奢侈
迪奥,dior,迪奥,dior,服装,男装,女装,,,潮流时尚,,,奢侈
迪士尼,Disney,迪士尼,Disney,服装,男装,女装,,,运动休闲,,,中档
唐可娜儿,DKNY,唐可娜儿,DKNY,服装,男装,女装,,,潮流时尚,,,奢侈
杜嘉班纳,DOLCE & GABBANA,杜嘉班纳,DOLCE & GABBANA,服装,内衣配饰,男装,女装,,潮流时尚,,,奢侈
唐纳·卡兰,DONNA KARAN,唐纳·卡兰,DONNA KARAN,服装,内衣配饰,男装,女装,,潮流时尚,,,奢侈
杜蕾娜,DORANER,杜蕾娜,DORANER,服装,女装,,,,成熟优雅,,,高档
登喜路,Dunhill,登喜路,Dunhill,服装,男装,女装,,,潮流时尚,,,奢侈
敦奴,dunnu,敦奴,dunnu,服装,女装,,,,潮流时尚,,,中档
伊可爱,E&YOU,伊可爱,E&YOU,服装,女装,,,,潮流时尚,,,中档
衣本色,Ebase,衣本色,Ebase,服装,男装,女装,,,运动休闲,成熟优雅,大众,中档
埃布林,Eblin,埃布林,Eblin,服装,内衣配饰,,,,成熟优雅,,,中档
衣本色,edc,衣本色,edc,服装,女装,,,,运动休闲,潮流时尚,,中档
伊芙丽,eifini,伊芙丽,eifini,服装,女装,,,,潮流时尚,成熟优雅,,中档
,EIN,,EIN,服装,女装,,,,潮流时尚,,,高档
衣恋,ELAND,衣恋,ELAND,服装,女装,男装,童装,,潮流时尚,成熟优雅,中档,高档
EP雅莹,Elegant.Prosper,EP雅莹,Elegant.Prosper,服装,女装,,,,潮流时尚,,,高档
歌力思,ELLASSAY,歌力思,ELLASSAY,服装,女装,,,,潮流时尚,,高档,奢侈
安莉芳,EMBRYFORN,安莉芳,EMBRYFORN,服装,内衣配饰,,,,成熟优雅,,,大众
安普里奥·阿玛尼,Emporio Armani,安普里奥·阿玛尼,Emporio Armani,服装,男装,,,,潮流时尚,,,中档
依妙,ému,依妙,ému,服装,女装,,,,潮流时尚,,,中档
蒽碧,ENEBY,蒽碧,ENEBY,服装,女装,,,,运动休闲,,,中档
麦凯尼德,eni:d,麦凯尼德,eni:d,服装,女装,韩式,,,成熟优雅,,,中档
,EQ:IQ,,EQ:IQ,服装,女装,,,,潮流时尚,,,高档
,ES,,ES,服装,女装,,,,潮流时尚,,,中档
思捷,ESPRIT,思捷,ESPRIT,服装,女装,男装,童装,内衣配饰,运动休闲,,,中档
艾格,etam,艾格,etam,服装,女装,内衣配饰,,,成熟优雅,潮流时尚,中档,高档
伊华欧秀,eva ouxiu,伊华欧秀,eva ouxiu,服装,女装,,,,潮流时尚,,,中档
依文,EVE de UOMO,依文,EVE de UOMO,服装,男装,,,,商务,潮流时尚,,高档
,EVISU,,EVISU,服装,男装,女装,,,运动休闲,潮流时尚,,高档
,f8派,,f8派,服装,女装,,,,商务,,,中档
菲杰,FA:GE,菲杰,FA:GE,服装,女装,,,,潮流时尚,,,中档
淑女屋,fairyfair,淑女屋,fairyfair,服装,女装,,,,潮流时尚,,,大众
芬迪诗,Fandecie,芬迪诗,Fandecie,服装,内衣配饰,,,,成熟优雅,,,中档
菲罗,FERAUD,菲罗,FERAUD,服装,女装,,,,潮流时尚,,,奢侈
富贵鸟,FGN,富贵鸟,FGN,服装,男装,,,,商务,,,大众
5+,five plus,5+,five plus,服装,女装,,,,运动休闲,潮流时尚,,中档
,forever,new,,forever,new,服装,女装,,,,潮流时尚,,,中档
,Fornafina,,Fornafina,服装,女装,,,,潮流时尚,,,中档
富铤,FORTEI,富铤,FORTEI,服装,男装,女装,,,潮流时尚,,,高档
,FRAY I.D.LILYbrowm,,FRAY I.D.LILYbrowm,服装,女装,,,,潮流时尚,,,高档
佛莱德,FRED PERRY,佛莱德,FRED PERRY,服装,男装,,,,成熟优雅,,,高档
,FROGNIEZILA,,FROGNIEZILA,服装,男装,,,,商务,,,中档
福芬,Fufen,福芬,Fufen,服装,女装,,,,潮流时尚,,,高档
杰特曼,G.T.MAN,杰特曼,G.T.MAN,服装,男装,,,,商务,,,大众
,G2000,,G2000,服装,男装,女装,,,商务,,,中档
嘎嘎,gaga,嘎嘎,gaga,服装,女装,,,,潮流时尚,,,中档
,GANT,,GANT,服装,男装,女装,童装,,成熟优雅,,,中档
吉诺里兹,GIMO RENZI,吉诺里兹,GIMO RENZI,服装,男装,,,,商务,,,高档
佐丹奴,giordano,佐丹奴,giordano,服装,男装,女装,,,潮流时尚,,,中档
乔治阿玛尼,GIORGIO ARMANI,乔治阿玛尼,GIORGIO ARMANI,服装,男装,女装,,,潮流时尚,,,奢侈
玖姿,Giorzio,玖姿,Giorzio,服装,女装,,,,潮流时尚,,,中档
,Girl,,Girl,服装,女装,,,,潮流时尚,,,中档
格子廊,girlline,格子廊,girlline,服装,女装,,,,潮流时尚,,,高档
纪梵希,Givenchy,纪梵希,Givenchy,服装,男装,女装,,,潮流时尚,,,奢侈
博鲨,good luck,博鲨,good luck,服装,男装,,,,商务,,,中档
,GSTAR,,GSTAR,服装,男装,女装,,,运动休闲,潮流时尚,,高档
,G-STAR RAW,,G-STAR RAW,服装,男装,女装,,,运动休闲,潮流时尚,,高档
古驰,Gucci,古驰,Gucci,服装,男装,女装,,,成熟优雅,潮流时尚,,奢侈
盖尔斯,GUESS,盖尔斯,GUESS,服装,女装,男装,,,潮流时尚,,,中档
,GXG,,GXG,服装,男装,,,,商务,,,中档
,H&M,,H&M,服装,男装,女装,童装,,潮流时尚,,,大众
欢腾,HANG TEN,欢腾,HANG TEN,服装,男装,,,,潮流时尚,,,大众
哈吉斯,HAZZYS,哈吉斯,HAZZYS,服装,男装,女装,,,韩式,,,高档
爱马仕,HERMES,爱马仕,HERMES,服装,男装,女装,,,成熟优雅,,,奢侈
,HILFIGER DENIM,,HILFIGER DENIM,服装,男装,,,,潮流时尚,,,中档
汉崇,HIM uomo,汉崇,HIM uomo,服装,男装,,,,潮流时尚,,,大众
,HONEYS,,HONEYS,服装,女装,,,,潮流时尚,,,中档
,HOPESHOW,,HOPESHOW,服装,女装,,,,成熟优雅,,,中档
热风,Hotwind,热风,Hotwind,服装,男装,女装,,,潮流时尚,,,中档
秀蓓儿,howbayou,秀蓓儿,howbayou,服装,女装,,,,潮流时尚,,,中档
,HUGO,,HUGO,服装,男装,,,,成熟优雅,,,高档
,hummel,,hummel,服装,男装,女装,,,运动休闲,,,中档
,I.P.ZONE,,I.P.ZONE,服装,男装,女装,,,中式,潮流时尚,,大众
,i.s.o,,i.s.o,服装,男装,女装,,,运动休闲,潮流时尚,,中档
,i.t,,i.t,服装,男装,女装,,,潮流时尚,,,中档
,ICB,,ICB,服装,女装,,,,潮流时尚,成熟优雅,,高档
,ICICLE,,ICICLE,服装,女装,,,,潮流时尚,,,高档
,IIMK,,IIMK,服装,女装,,,,潮流时尚,,,中档
爱美丽,imi's,爱美丽,imi's,服装,内衣配饰,,,,成熟优雅,,,大众
,INDIVI,,INDIVI,服装,女装,,,,潮流时尚,,,中档
,initial,,initial,服装,女装,,,,潮流时尚,,,中档
,insatin,,insatin,服装,女装,,,,潮流时尚,韩式,,高档
恩裳,INSUN,恩裳,INSUN,服装,女装,,,,潮流时尚,,,高档
伊丝芬,ISYFEN,伊丝芬,ISYFEN,服装,内衣配饰,,,,运动休闲,,,中档
伊苏,IZZUE,伊苏,IZZUE,服装,男装,女装,,,潮流时尚,,,高档
杰克琼斯,JACK & JONES,杰克琼斯,JACK & JONES,服装,男装,,,,潮流时尚,运动休闲,中档,高档
占姆士,JAMES KINGDOM,占姆士,JAMES KINGDOM,服装,男装,,,,商务,,,高档
,JAVECE,,JAVECE,服装,男装,女装,,,商务,成熟优雅,,高档
,JC,,JC,服装,女装,,,,潮流时尚,,,中档
娇鼎,JDING,娇鼎,JDING,服装,女装,,,,潮流时尚,,,中档
,JEAN PAUL GAULTIER,,JEAN PAUL GAULTIER,服装,女装,,,,潮流时尚,,,高档
,JEEP,,JEEP,服装,男装,女装,,,运动休闲,,,大众
吉芬,JEFEN,吉芬,JEFEN,服装,女装,,,,潮流时尚,,,高档
,jessica,,jessica,服装,女装,,,,潮流时尚,,,高档
,Jessie,,Jessie,服装,女装,,,,潮流时尚,,,高档
嘉莉诗,jialishi,嘉莉诗,jialishi,服装,内衣配饰,,,,成熟优雅,,,大众
江南布衣,JNBY,江南布衣,JNBY,服装,女装,,,,潮流时尚,,,中档
,JOCKEY,,JOCKEY,服装,内衣配饰,,,,成熟优雅,,,中档
九玫王,Joeone,九玫王,Joeone,服装,男装,,,,商务,运动休闲,,中档
,JORYA,,JORYA,服装,女装,,,,潮流时尚,成熟优雅,,高档
,julyfive,,julyfive,服装,女装,,,,潮流时尚,,,中档
,K.S.BERE,,K.S.BERE,服装,女装,,,,潮流时尚,,,中档
卡尔丹顿,kaltendin,卡尔丹顿,kaltendin,服装,男装,,,,商务,,,中档
卡帕,kappa,卡帕,kappa,服装,男装,女装,,,运动休闲,,大众,高档
,KENZO,,KENZO,服装,男装,女装,童装,,运动休闲,潮流时尚,,高档
夏克露丝,KINGKUNG,夏克露丝,KINGKUNG,服装,女装,,,,潮流时尚,,,中档
接吻猫,KISS CAT,接吻猫,KISS CAT,服装,女装,,,,运动休闲,潮流时尚,,中档
,KITON,,KITON,服装,男装,,,,商务,,,奢侈
,KLEINPLUS+,,KLEINPLUS+,服装,女装,,,,潮流时尚,,,中档
蔻凯,KOOKAI,蔻凯,KOOKAI,服装,女装,,,,潮流时尚,,,高档
柯利亚诺,KOREANO,柯利亚诺,KOREANO,服装,女装,,,,潮流时尚,,,中档
纳帕佳,La pargay,纳帕佳,La pargay,服装,女装,,,,潮流时尚,,,中档
兰卡文,LACLOVER,兰卡文,LACLOVER,服装,内衣配饰,,,,潮流时尚,,,高档
拉科斯特,Lacoste,拉科斯特,Lacoste,服装,男装,,,,运动休闲,,,高档
兰缪,LAMIU,兰缪,LAMIU,服装,女装,内衣配饰,,,潮流时尚,,,大众
